founded,industry,count
1085,entertainment,1
1085,"leisure, travel & tourism",1
1086,religious institutions,1
1086,hospitality,1
1086,"leisure, travel & tourism",1
1086,chemicals,1
1086,textiles,1
1087,wholesale,1
1088,religious institutions,1
1088,higher education,2
1088,mechanical or industrial engineering,1
1090,wine and spirits,1
1090,education management,1
1091,education management,1
1091,civic & social organization,1
1092,museums and institutions,1
1092,religious institutions,1
1093,religious institutions,2
1094,religious institutions,1
1095,government administration,1
1096,research,1
1096,religious institutions,1
1096,higher education,1
1098,utilities,1
1099,non-profit organization management,1
1099,professional training & coaching,1
1099,religious institutions,1
1100,hospitality,1
1100,mental health care,1
1100,"health, wellness and fitness",1
1100,religious institutions,2
1100,wine and spirits,1
1100,"leisure, travel & tourism",1
1101,museums and institutions,1
1102,investment management,1
1103,religious institutions,1
1104,hospitality,1
1108,non-profit organization management,1
1110,government administration,1
1111,"health, wellness and fitness",1
1111,automotive,1
1111,computer software,1
1111,medical practice,2
1111,human resources,1
1111,marketing and advertising,1
1111,accounting,1
1111,hospitality,1
1111,financial services,1
1111,security and investigations,1
1111,writing and editing,1
1111,renewables & environment,1
1111,environmental services,1
1111,electrical/electronic manufacturing,1
1111,construction,2
1111,medical devices,1
1111,food & beverages,2
1113,government administration,1
1113,philanthropy,1
1115,events services,1
1118,"leisure, travel & tourism",1
1119,"leisure, travel & tourism",1
1119,government administration,1
1120,religious institutions,1
1120,wine and spirits,1
1120,primary/secondary education,1
1121,religious institutions,1
1121,events services,1
1123,government administration,1
1125,government administration,2
1128,education management,1
1129,hospitality,1
1130,wine and spirits,1
1134,religious institutions,2
1135,hospitality,1
1135,government administration,1
1136,maritime,1
1136,museums and institutions,1
1136,wine and spirits,1
1136,government administration,1
1140,hospitality,1
1141,wine and spirits,1
1142,international affairs,1
1143,real estate,1
1144,civic & social organization,1
1146,government administration,1
1147,events services,1
1148,government administration,1
1148,wine and spirits,1
1150,hospital & health care,1
1150,events services,1
1155,wine and spirits,1
1156,government relations,1
1158,hospital & health care,1
1159,public policy,1
1160,government administration,1
1160,think tanks,1
1163,government relations,1
1170,events services,1
1172,wine and spirits,1
1174,philanthropy,1
1174,hospital & health care,1
1174,religious institutions,1
1175,government administration,1
1175,public relations and communications,1
1175,higher education,1
1178,executive office,1
1180,public policy,1
1180,hospitality,2
1180,entertainment,1
1180,food & beverages,1
1180,religious institutions,1
1181,wine and spirits,1
1184,recreational facilities and services,1
1188,hospitality,1
1189,judiciary,1
1190,publishing,1
1190,retail,1
1190,import and export,2
1190,business supplies and equipment,2
1190,construction,1
1190,real estate,1
1190,hospitality,1
1191,hospital & health care,1
1191,religious institutions,1
1191,construction,1
1192,government administration,1
1192,individual & family services,1
1192,building materials,1
1192,"health, wellness and fitness",1
1192,industrial automation,1
1192,marketing and advertising,1
1193,broadcast media,1
1193,industrial automation,1
1193,information technology and services,1
1193,philanthropy,1
1193,maritime,1
1194,education management,1
1194,think tanks,1
1194,luxury goods & jewelry,1
1194,marketing and advertising,2
1194,publishing,1
1194,music,1
1194,real estate,1
1194,mechanical or industrial engineering,1
1194,sporting goods,1
1194,law practice,1
1195,civic & social organization,1
1195,mechanical or industrial engineering,1
1195,construction,1
1195,legal services,1
1195,maritime,1
1196,insurance,1
1196,apparel & fashion,1
1196,law practice,1
1196,real estate,1
1196,automotive,2
1196,environmental services,1
1196,marketing and advertising,1
1196,hospitality,1
1196,machinery,1
1197,information technology and services,1
1197,publishing,1
1197,food production,1
1197,retail,1
1197,financial services,1
1198,financial services,1
1198,writing and editing,1
1198,information technology and services,1
1198,philanthropy,1
1198,entertainment,1
1200,hospital & health care,1
1200,research,1
1200,"leisure, travel & tourism",1
1200,government administration,1
1200,logistics and supply chain,1
1200,sports,1
1200,hospitality,1
1201,executive office,1
1204,government administration,1
1204,hospital & health care,1
1205,government administration,2
1208,ranching,1
1208,hospitality,1
1209,religious institutions,1
1209,research,1
1209,education management,1
1209,hospitality,1
1210,consumer electronics,1
1210,wine and spirits,1
1210,human resources,1
1211,construction,1
1212,information technology and services,1
1212,civil engineering,1
1212,government administration,1
1212,luxury goods & jewelry,1
1212,non-profit organization management,1
1212,medical practice,1
1213,civic & social organization,1
1214,executive office,1
1215,"leisure, travel & tourism",1
1215,hospital & health care,1
1216,religious institutions,2
1216,government administration,1
1217,government administration,2
1218,higher education,1
1218,civic & social organization,1
1218,hospitality,1
1218,education management,1
1220,higher education,1
1221,religious institutions,1
1222,higher education,1
1222,government administration,1
1222,hospitality,1
1224,government administration,1
1224,higher education,1
1225,hospitality,1
1225,government administration,1
1227,government administration,1
1228,hospitality,1
1229,government administration,1
1230,food production,1
1230,arts and crafts,1
1230,events services,1
1233,government administration,1
1234,think tanks,1
1234,fund-raising,1
1237,government administration,1
1237,"leisure, travel & tourism",1
1238,executive office,1
1238,government administration,2
1238,civic & social organization,1
1240,public policy,1
1240,executive office,1
1240,government administration,1
1242,government administration,2
1243,government administration,1
1244,non-profit organization management,2
1244,retail,1
1245,government administration,1
1245,executive office,1
1246,hospital & health care,1
1246,government administration,1
1247,"health, wellness and fitness",2
1247,mental health care,1
1247,restaurants,1
1248,food & beverages,1
1248,"leisure, travel & tourism",1
1248,government administration,2
1249,government administration,1
1249,higher education,1
1250,religious institutions,2
1250,museums and institutions,1
1250,government administration,1
1252,hospital & health care,1
1252,government administration,1
1253,hospital & health care,1
1254,construction,1
1255,public policy,1
1257,research,1
1257,civic & social organization,1
1258,religious institutions,1
1259,wine and spirits,1
1259,government administration,1
1260,sports,1
1260,government administration,1
1263,government administration,1
1263,"leisure, travel & tourism",1
1263,higher education,1
1264,executive office,1
1264,higher education,1
1264,public policy,1
1264,retail,1
1265,religious institutions,1
1265,civic & social organization,1
1266,government administration,2
1266,hospital & health care,1
1267,hospital & health care,1
1267,public policy,1
1268,wine and spirits,1
1270,legal services,1
1271,maritime,1
1272,hospitality,1
1272,fishery,1
1273,government administration,1
1273,non-profit organization management,1
1275,religious institutions,1
1275,government administration,1
1279,government administration,1
1280,events services,1
1283,consumer goods,1
1284,government administration,1
1284,higher education,1
1285,government administration,1
1285,museums and institutions,1
1285,religious institutions,1
1286,non-profit organization management,1
1286,government administration,1
1286,farming,1
1287,government administration,1
1287,public safety,1
1288,hospitality,2
1289,higher education,1
1289,government administration,1
1290,government administration,1
1290,public policy,1
1290,higher education,2
1291,executive office,1
1293,hospital & health care,1
1295,food & beverages,1
1295,design,1
1296,museums and institutions,1
1298,non-profit organization management,1
1299,government administration,1
1299,real estate,1
1299,events services,1
1300,public policy,1
1300,government administration,1
1300,religious institutions,1
1300,food production,1
1300,higher education,1
1300,food & beverages,1
1302,political organization,1
1303,higher education,2
1303,research,1
1303,internet,1
1306,wine and spirits,1
1306,government administration,1
1307,investment management,1
1309,legal services,1
1309,government administration,1
1310,wine and spirits,1
1312,government administration,1
1312,food & beverages,1
1313,utilities,1
1314,hospitality,1
1315,hospitality,1
1317,banking,1
1317,government administration,2
1317,higher education,1
1317,religious institutions,1
1321,higher education,1
1322,hospitality,1
1322,wine and spirits,1
1323,education management,1
1325,hospitality,1
1325,government administration,2
1325,marketing and advertising,1
1325,museums and institutions,1
1325,sports,1
1326,public policy,1
1327,non-profit organization management,1
1327,philanthropy,1
1327,law practice,1
1327,political organization,1
1327,consumer services,1
1327,arts and crafts,1
1328,primary/secondary education,1
1328,building materials,1
1328,mining & metals,1
1330,farming,1
1333,hospital & health care,1
1334,hospitality,1
1334,food & beverages,1
1337,computer software,1
1338,events services,1
1338,logistics and supply chain,1
1339,recreational facilities and services,1
1340,museums and institutions,1
1340,non-profit organization management,1
1341,government administration,1
1341,higher education,1
1343,higher education,1
1343,government relations,1
1343,executive office,1
1344,education management,1
1346,food & beverages,2
1346,hospitality,1
1347,higher education,1
1347,government administration,1
1348,sports,1
1348,research,1
1348,law practice,1
1348,higher education,2
1349,wine and spirits,1
1349,arts and crafts,1
1350,mechanical or industrial engineering,1
1350,government administration,1
1350,higher education,1
1350,retail,1
1350,political organization,1
1350,education management,1
1352,wine and spirits,1
1352,government administration,1
1352,judiciary,1
1353,civil engineering,1
1354,wine and spirits,1
1354,medical practice,1
1355,government administration,1
1356,international affairs,1
1356,public policy,1
1357,food & beverages,1
1357,information technology and services,1
1357,oil & energy,1
1357,museums and institutions,1
1357,"leisure, travel & tourism",1
1358,automotive,1
1359,hospitality,1
1360,non-profit organization management,1
1360,food production,1
1361,higher education,1
1361,hospitality,1
1361,research,1
1361,museums and institutions,1
1363,wine and spirits,1
1363,defense & space,1
1363,automotive,3
1363,hospitality,1
1364,research,1
1364,higher education,2
1365,research,1
1365,automotive,2
1365,chemicals,1
1365,wine and spirits,1
1366,oil & energy,1
1366,government administration,1
1366,consumer goods,1
1367,non-profit organization management,1
1367,higher education,1
1367,government administration,1
1367,research,1
1368,libraries,1
1368,professional training & coaching,1
1368,food production,1
1370,oil & energy,1
1370,chemicals,1
1371,education management,1
1371,civic & social organization,1
1371,information technology and services,1
1372,medical devices,1
1372,accounting,1
1372,education management,1
1373,cosmetics,1
1374,public policy,1
1374,marketing and advertising,1
1374,consumer electronics,1
1375,oil & energy,1
1375,electrical/electronic manufacturing,1
1375,security and investigations,1
1376,packaging and containers,1
1376,accounting,1
1376,computer software,2
1377,computer networking,1
1377,information technology and services,1
1378,environmental services,1
1378,sports,1
1379,construction,1
1379,computer software,1
1379,staffing and recruiting,1
1379,management consulting,1
1379,computer hardware,1
1379,non-profit organization management,1
1379,oil & energy,1
1379,education management,2
1379,higher education,1
1379,civic & social organization,1
1380,construction,1
1380,chemicals,1
1380,airlines/aviation,1
1380,building materials,1
1381,information technology and services,1
1381,computer software,1
1381,architecture & planning,3
1381,automotive,1
1381,marketing and advertising,1
1382,government administration,2
1382,education management,1
1382,religious institutions,1
1382,computer software,1
1382,farming,1
1382,banking,1
1383,construction,1
1383,environmental services,1
1383,retail,1
1383,computer software,1
1383,design,1
1383,chemicals,1
1383,warehousing,1
1384,information technology and services,2
1384,design,1
1384,legal services,1
1384,computer software,2
1384,building materials,1
1385,civil engineering,1
1385,food production,1
1385,wine and spirits,1
1385,wholesale,1
1385,renewables & environment,1
1385,telecommunications,1
1385,capital markets,1
1385,packaging and containers,1
1385,electrical/electronic manufacturing,1
1386,chemicals,1
1386,research,1
1386,computer software,1
1386,marketing and advertising,1
1386,sporting goods,1
1386,education management,1
1386,farming,1
1387,computer software,1
1387,security and investigations,1
1387,museums and institutions,1
1387,research,2
1387,apparel & fashion,1
1387,computer networking,2
1387,airlines/aviation,1
1387,computer hardware,1
1388,government administration,1
1388,education management,1
1388,research,1
1388,hospitality,1
1388,marketing and advertising,2
1388,construction,1
1388,computer & network security,2
1388,photography,1
1388,museums and institutions,1
1388,industrial automation,1
1388,internet,2
1388,telecommunications,1
1388,consumer goods,1
1388,online media,1
1388,non-profit organization management,1
1388,information technology and services,1
1389,libraries,1
1389,airlines/aviation,1
1389,computer software,1
1389,computer & network security,1
1389,translation and localization,1
1389,information technology and services,2
1389,oil & energy,1
1389,banking,1
1389,hospitality,1
1389,consumer services,1
1389,electrical/electronic manufacturing,1
1390,automotive,1
1390,chemicals,1
1390,wine and spirits,1
1390,management consulting,1
1390,business supplies and equipment,1
1390,cosmetics,1
1390,oil & energy,1
1390,information technology and services,3
1391,information technology and services,1
1391,hospitality,1
1391,marketing and advertising,2
1391,human resources,1
1391,publishing,1
1391,retail,1
1391,computer software,3
1391,research,1
1391,public policy,1
1391,mechanical or industrial engineering,1
1391,management consulting,1
1392,marketing and advertising,1
1392,management consulting,1
1392,business supplies and equipment,1
1392,information technology and services,1
1392,automotive,2
1392,facilities services,1
1392,"leisure, travel & tourism",1
1392,internet,1
1392,education management,1
1393,oil & energy,1
1393,computer networking,1
1393,chemicals,1
1393,civil engineering,2
1393,hospital & health care,1
1393,computer software,1
1393,financial services,1
1393,publishing,1
1393,"health, wellness and fitness",1
1393,information technology and services,3
1393,venture capital & private equity,1
1394,management consulting,1
1394,mental health care,1
1394,e-learning,2
1394,computer software,1
1394,education management,1
1394,staffing and recruiting,1
1394,information technology and services,2
1394,business supplies and equipment,1
1394,hospitality,1
1394,internet,1
1394,accounting,1
1394,wholesale,1
1394,marketing and advertising,1
1394,electrical/electronic manufacturing,1
1394,music,1
1394,non-profit organization management,1
1395,apparel & fashion,1
1395,computer software,2
1395,non-profit organization management,1
1395,events services,1
1395,philanthropy,1
1395,education management,2
1395,consumer services,1
1395,retail,1
1395,publishing,1
1395,utilities,1
1395,e-learning,1
1395,program development,1
1396,education management,1
1396,"leisure, travel & tourism",1
1396,human resources,1
1396,management consulting,1
1396,higher education,1
1396,marketing and advertising,1
1396,graphic design,1
1396,retail,3
1396,financial services,1
1396,mental health care,1
1396,internet,1
1396,sports,1
1396,business supplies and equipment,2
1396,accounting,1
1397,information technology and services,1
1397,hospitality,1
1397,design,1
1397,environmental services,1
1397,construction,1
1397,management consulting,1
1397,newspapers,1
1397,computer software,1
1397,accounting,1
1397,human resources,1
1397,online media,1
1398,financial services,1
1398,food & beverages,1
1398,utilities,1
1398,information technology and services,2
1398,museums and institutions,1
1398,business supplies and equipment,1
1398,human resources,1
1398,capital markets,1
1399,non-profit organization management,1
1399,insurance,1
1399,computer software,2
1399,primary/secondary education,1
1400,food & beverages,1
1400,arts and crafts,1
1400,construction,1
1400,philanthropy,1
1401,hospital & health care,2
1402,research,1
1403,think tanks,1
1403,hospitality,1
1404,farming,1
1405,facilities services,1
1405,education management,2
1406,farming,1
1407,primary/secondary education,1
1408,electrical/electronic manufacturing,1
1408,construction,1
1408,wine and spirits,1
1408,professional training & coaching,1
1409,research,1
1410,primary/secondary education,1
1410,machinery,1
1410,construction,1
1413,higher education,1
1413,government administration,1
1413,civic & social organization,1
1413,automotive,1
1414,education management,1
1415,civil engineering,1
1416,higher education,1
1416,government administration,1
1418,medical devices,1
1418,government administration,1
1419,research,1
1420,non-profit organization management,1
1420,education management,1
1420,construction,2
1421,mechanical or industrial engineering,1
1422,hospitality,1
1422,non-profit organization management,1
1422,international trade and development,1
1423,hospitality,1
1423,education management,1
1423,real estate,1
1424,education management,1
1424,broadcast media,1
1424,government administration,1
1424,philanthropy,1
1425,banking,1
1425,research,4
1425,construction,1
1425,information technology and services,1
1425,consumer services,1
1425,higher education,1
1427,education management,1
1428,professional training & coaching,1
1428,construction,1
1428,non-profit organization management,1
1428,legal services,1
1428,public policy,1
1429,education management,1
1430,professional training & coaching,1
1430,management consulting,1
1430,education management,2
1430,hospitality,1
1430,religious institutions,1
1431,wireless,1
1431,architecture & planning,1
1431,higher education,1
1431,non-profit organization management,1
1432,research,1
1432,education management,1
1432,government administration,1
1432,real estate,1
1433,architecture & planning,1
1433,civic & social organization,1
1433,non-profit organization management,1
1434,management consulting,1
1434,food & beverages,1
1435,wine and spirits,1
1436,philanthropy,1
1437,management consulting,1
1437,public safety,1
1437,government administration,1
1437,hospitality,1
1437,philanthropy,1
1437,individual & family services,1
1438,management consulting,2
1438,investment management,1
1438,broadcast media,1
1438,professional training & coaching,1
1439,computer hardware,1
1439,construction,1
1440,government administration,1
1440,computer networking,1
1440,education management,1
1441,facilities services,1
1441,higher education,1
1441,architecture & planning,1
1441,"health, wellness and fitness",1
1441,wine and spirits,1
1442,mental health care,1
1442,government administration,2
1443,government administration,1
1445,"leisure, travel & tourism",1
1445,government administration,2
1446,mining & metals,1
1446,government administration,1
1447,civic & social organization,1
1450,wine and spirits,2
1450,research,1
1450,government administration,1
1451,research,1
1451,civic & social organization,1
1451,higher education,1
1452,wine and spirits,1
1452,animation,1
1453,design,1
1453,higher education,2
1454,hospitality,1
1457,luxury goods & jewelry,1
1457,hospital & health care,1
1457,research,4
1457,hospitality,1
1458,religious institutions,1
1458,civic & social organization,1
1458,education management,1
1459,executive office,1
1460,"leisure, travel & tourism",1
1460,higher education,2
1460,research,1
1461,government administration,1
1462,education management,1
1463,information technology and services,1
1463,mining & metals,1
1463,hospitality,1
1464,hospitality,1
1465,museums and institutions,1
1465,hospital & health care,1
1466,education management,1
1466,think tanks,1
1466,luxury goods & jewelry,1
1467,wine and spirits,1
1468,museums and institutions,1
1470,arts and crafts,1
1470,hospitality,1
1471,food & beverages,1
1472,hospital & health care,1
1472,research,2
1472,banking,1
1473,government administration,2
1473,higher education,1
1474,higher education,1
1475,food production,1
1475,"glass, ceramics & concrete",1
1475,medical practice,1
1476,logistics and supply chain,1
1477,education management,1
1477,research,1
1477,higher education,1
1478,publishing,2
1479,building materials,1
1479,machinery,1
1479,higher education,1
1479,research,1
1480,hospitality,1
1481,executive office,1
1482,government administration,1
1482,electrical/electronic manufacturing,1
1482,hospitality,1
1483,banking,1
1484,ranching,1
1484,hospitality,1
1485,hospitality,1
1485,museums and institutions,2
1488,wine and spirits,1
1488,pharmaceuticals,1
1488,banking,1
1488,military,1
1490,hospitality,1
1491,printing,1
1492,government administration,1
1492,marketing and advertising,1
1492,package/freight delivery,1
1492,food & beverages,1
1492,entertainment,2
1492,hospital & health care,1
1495,higher education,1
1495,"health, wellness and fitness",1
1496,education management,1
1496,hospital & health care,1
1497,museums and institutions,1
1498,transportation/trucking/railroad,1
1498,professional training & coaching,1
1498,"leisure, travel & tourism",1
1498,civic & social organization,1
1499,higher education,2
1499,wine and spirits,2
1500,investment management,1
1500,museums and institutions,1
1500,hospital & health care,1
1500,events services,1
1500,arts and crafts,1
1500,religious institutions,2
1500,hospitality,3
1500,non-profit organization management,2
1500,construction,1
1500,education management,1
1500,performing arts,1
1501,civic & social organization,1
1501,telecommunications,1
1501,consumer services,1
1501,hospitality,1
1502,mining & metals,1
1502,wine and spirits,1
1503,hospital & health care,1
1505,accounting,1
1505,higher education,1
1505,medical practice,1
1506,higher education,1
1506,hospitality,1
1506,furniture,1
1506,military,1
1507,hospitality,1
1508,hospitality,1
1509,education management,1
1509,hospitality,1
1509,primary/secondary education,1
1510,government administration,1
1511,higher education,1
1512,primary/secondary education,1
1512,"health, wellness and fitness",1
1512,education management,3
1513,education management,1
1514,maritime,1
1514,education management,1
1514,government administration,2
1515,education management,1
1515,sports,1
1515,philanthropy,1
1515,construction,1
1515,government administration,1
1516,government administration,1
1516,transportation/trucking/railroad,1
1516,primary/secondary education,1
1517,hospitality,2
1517,civic & social organization,1
1517,transportation/trucking/railroad,1
1517,mental health care,1
1518,food & beverages,1
1518,hospital & health care,1
1518,events services,1
1519,printing,2
1519,government administration,2
1519,publishing,1
1520,logistics and supply chain,1
1520,medical practice,1
1521,restaurants,1
1523,machinery,1
1525,public policy,1
1525,education management,1
1526,mining & metals,1
1526,sporting goods,1
1526,management consulting,1
1526,consumer goods,1
1526,"health, wellness and fitness",2
1526,government administration,1
1527,legal services,1
1527,primary/secondary education,2
1527,education management,1
1528,fund-raising,1
1528,hospitality,1
1529,education management,1
1530,wine and spirits,1
1530,higher education,1
1530,events services,1
1530,think tanks,1
1530,apparel & fashion,2
1530,consumer goods,2
1531,higher education,1
1531,education management,1
1531,government administration,1
1531,hospitality,1
1532,education management,2
1532,hospitality,1
1532,real estate,1
1532,law practice,1
1533,paper & forest products,1
1533,government administration,2
1534,religious institutions,3
1534,publishing,3
1535,mining & metals,1
1535,government administration,1
1535,real estate,1
1535,public policy,1
1536,religious institutions,1
1536,education management,1
1536,non-profit organization management,1
1536,museums and institutions,1
1537,research,1
1537,hospitality,1
1537,construction,1
1537,mining & metals,1
1537,religious institutions,1
1538,machinery,1
1538,wine and spirits,1
1538,higher education,2
1538,paper & forest products,1
1538,primary/secondary education,2
1538,information technology and services,2
1539,non-profit organization management,2
1539,"leisure, travel & tourism",1
1539,banking,1
1539,government administration,1
1539,military,1
1539,individual & family services,1
1540,commercial real estate,1
1540,religious institutions,4
1540,government administration,2
1540,international trade and development,1
1540,food production,1
1540,hospitality,2
1541,non-profit organization management,1
1541,education management,5
1541,philanthropy,1
1541,primary/secondary education,1
1541,religious institutions,2
1541,law practice,1
1541,higher education,1
1542,government administration,1
1542,philanthropy,1
1542,professional training & coaching,1
1542,religious institutions,1
1542,food & beverages,1
1542,education management,1
1542,wine and spirits,2
1543,business supplies and equipment,1
1543,hospital & health care,1
1543,airlines/aviation,1
1545,paper & forest products,1
1545,farming,1
1545,"health, wellness and fitness",1
1545,maritime,1
1545,food & beverages,1
1545,education management,1
1546,military,1
1546,religious institutions,1
1546,primary/secondary education,1
1546,wine and spirits,1
1546,higher education,1
1547,human resources,1
1547,primary/secondary education,1
1548,education management,1
1548,research,1
1549,political organization,1
1549,non-profit organization management,1
1549,events services,1
1549,education management,1
1549,primary/secondary education,1
1550,wine and spirits,1
1550,hospitality,1
1550,professional training & coaching,1
1550,sports,1
1550,government administration,1
1550,maritime,1
1550,farming,1
1551,higher education,2
1551,maritime,1
1551,education management,1
1552,education management,3
1552,primary/secondary education,3
1552,wine and spirits,1
1553,wine and spirits,2
1553,mining & metals,1
1553,non-profit organization management,1
1553,education management,2
1553,capital markets,1
1553,legal services,1
1553,higher education,1
1554,information technology and services,1
1554,government administration,2
1554,education management,2
1554,"leisure, travel & tourism",1
1555,education management,1
1555,higher education,1
1556,food & beverages,1
1556,entertainment,1
1556,textiles,1
1556,individual & family services,1
1557,primary/secondary education,1
1557,higher education,1
1557,education management,2
1558,logistics and supply chain,1
1558,government administration,1
1558,higher education,1
1558,hospital & health care,1
1559,religious institutions,2
1559,apparel & fashion,1
1559,hospitality,1
1559,"leisure, travel & tourism",1
1559,higher education,2
1559,education management,1
1559,primary/secondary education,1
1560,museums and institutions,2
1560,medical practice,1
1560,logistics and supply chain,1
1560,primary/secondary education,1
1560,public policy,1
1560,education management,1
1560,sports,1
1560,government administration,2
1560,mechanical or industrial engineering,1
1561,non-profit organization management,1
1561,printing,1
1561,education management,1
1561,primary/secondary education,2
1562,government administration,2
1562,education management,1
1562,higher education,1
1562,"leisure, travel & tourism",1
1563,religious institutions,1
1563,philanthropy,1
1563,primary/secondary education,2
1563,civil engineering,1
1564,performing arts,1
1564,education management,2
1564,wine and spirits,1
1565,sports,1
1565,education management,3
1565,utilities,1
1565,government administration,1
1565,wine and spirits,1
1566,non-profit organization management,1
1567,primary/secondary education,1
1567,religious institutions,1
1567,mechanical or industrial engineering,1
1567,mining & metals,1
1568,staffing and recruiting,1
1568,events services,1
1568,education management,1
1568,philanthropy,1
1568,legal services,2
1569,legal services,1
1569,government administration,1
1569,education management,1
1570,libraries,1
1570,government administration,1
1570,law practice,1
1570,primary/secondary education,1
1571,higher education,1
1571,education management,1
1571,government administration,2
1572,libraries,1
1572,primary/secondary education,1
1572,building materials,1
1572,food & beverages,1
1573,education management,1
1573,paper & forest products,1
1573,museums and institutions,1
1574,government administration,1
1574,wine and spirits,1
1575,hospitality,1
1575,higher education,2
1575,legal services,1
1575,research,1
1575,wine and spirits,1
1576,logistics and supply chain,1
1576,non-profit organization management,1
1576,research,1
1576,hospital & health care,1
1576,education management,1
1576,public policy,1
1577,wine and spirits,1
1578,hospital & health care,1
1579,"health, wellness and fitness",2
1579,research,1
1579,higher education,2
1579,education management,2
1579,mining & metals,1
1579,hospitality,1
1580,higher education,2
1580,food & beverages,1
1580,wine and spirits,1
1580,legal services,1
1580,"leisure, travel & tourism",1
1580,civic & social organization,1
1580,primary/secondary education,1
1580,government administration,1
1580,religious institutions,1
1581,legal services,1
1581,hospital & health care,1
1581,higher education,1
1582,restaurants,2
1582,newspapers,1
1583,research,1
1583,primary/secondary education,1
1583,wine and spirits,1
1583,legal services,1
1583,higher education,3
1583,"leisure, travel & tourism",1
1583,government administration,1
1584,paper & forest products,2
1584,government administration,1
1584,civic & social organization,1
1584,education management,1
1584,research,1
1585,hospital & health care,1
1585,financial services,1
1585,museums and institutions,1
1585,wine and spirits,1
1585,primary/secondary education,1
1585,higher education,1
1585,government administration,1
1585,events services,1
1585,publishing,1
1586,luxury goods & jewelry,1
1586,primary/secondary education,1
1586,defense & space,1
1588,wine and spirits,1
1588,sporting goods,1
1588,education management,2
1588,civic & social organization,1
1588,mechanical or industrial engineering,1
1588,religious institutions,1
1589,food & beverages,1
1589,defense & space,1
1590,banking,1
1590,education management,1
1590,telecommunications,1
1590,museums and institutions,1
1590,hospitality,1
1590,mining & metals,1
1590,printing,1
1591,restaurants,1
1591,food production,1
1591,education management,1
1591,construction,1
1592,medical practice,1
1592,education management,1
1592,higher education,1
1592,hospital & health care,1
1592,sports,1
1593,printing,2
1593,wine and spirits,1
1593,primary/secondary education,1
1593,religious institutions,1
1593,food production,1
1593,government administration,1
1594,hospitality,1
1594,museums and institutions,1
1594,environmental services,1
1594,public policy,1
1595,religious institutions,2
1595,"leisure, travel & tourism",1
1595,civic & social organization,1
1595,recreational facilities and services,1
1595,primary/secondary education,1
1596,non-profit organization management,1
1596,libraries,2
1596,higher education,1
1596,pharmaceuticals,1
1596,law practice,1
1597,hospital & health care,1
1597,food & beverages,2
1597,primary/secondary education,2
1597,events services,1
1597,higher education,1
1597,legal services,1
1598,legal services,1
1598,education management,1
1598,government administration,1
1598,food production,1
1598,military,1
1599,education management,1
